,Longitude,Latitude,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_9,Cluster,geometry
1681977,684250.0,1653650.0,-83.653534,0.109823234,64.430275,70710.51,1294.4116,1.056872,0.6363636,-0.6339697,-0.81547034,Cluster0,POINT (684250 1653650)
2121569,629750.0,1630350.0,-81.28919,0.06386858,115.0552,43510.902,4951.1685,1.058296,0.6363636,-0.332675,-0.03811556,Cluster0,POINT (629750 1630350)
3533192,683750.0,1555650.0,-79.54743,0.16498362,42.24788,30143.725,2500.8738,0.9866221,0.6363636,-1.4020592,-0.6355634,Cluster0,POINT (683750 1555650)
1980528,693150.0,1637850.0,-79.00771,0.119096085,41.427406,62143.676,2829.9597,1.0597609,0.6363636,-0.505568,-0.4578474,Cluster0,POINT (693150 1637850)
76715,723050.0,1738650.0,-88.8668,0.033036243,-54.280785,46439.188,23208.906,1.080292,0.6363636,-0.32073414,-0.8899026,Cluster0,POINT (723050 1738650)
1338753,741650.0,1671850.0,-80.82087,0.088370636,-66.83421,28196.486,4831.342,1.1077844,0.6363636,-0.2859341,-0.02732454,Cluster0,POINT (741650 1671850)
662217,714250.0,1707650.0,-86.685646,0.04413668,83.601204,65109.12,8249.305,1.0209424,0.6363636,-0.2122378,-0.67220485,Cluster0,POINT (714250 1707650)
3434335,620850.0,1560850.0,-99.015465,0.06745781,27.928741,32082.154,2602.4373,0.98888886,0.6363636,-0.113631,-0.6040309,Cluster0,POINT (620850 1560850)
1225244,724750.0,1677850.0,-72.00669,0.09421341,-18.773232,43111.996,2561.9365,1.0641711,0.6363636,0.16049773,-0.28313398,Cluster0,POINT (724750 1677850)
1617956,704750.0,1657050.0,-84.55354,0.08551172,6.9228644,51010.45,2851.844,1.125,0.6363636,-0.7354086,-0.8475525,Cluster0,POINT (704750 1657050)
2597559,625950.0,1605150.0,-97.121956,0.1662486,29.071304,25902.768,5166.671,0.97805643,0.6363636,-0.6816755,-0.6738363,Cluster0,POINT (625950 1605150)
285215,794050.0,1727650.0,-96.7193,0.12435536,4.7506742,43188.523,14917.059,1.0383142,0.6363636,-0.73620397,-0.86320025,Cluster0,POINT (794050 1727650)
2935633,620250.0,1587250.0,-98.29613,0.12070053,76.20738,27302.984,1655.6464,0.9668874,0.45454547,-1.254628,-1.084499,Cluster0,POINT (620250 1587250)
906165,740950.0,1694750.0,-91.33385,0.067284636,-99.71119,37301.63,24325.396,1.0933334,0.6363636,-0.66982895,-0.28387013,Cluster0,POINT (740950 1694750)
2540226,748550.0,1608250.0,-82.765656,0.13496915,-21.650265,29504.264,3095.5342,1.0142857,0.6363636,-0.15284242,-0.44340482,Cluster0,POINT (748550 1608250)
2496772,747850.0,1610550.0,-82.54094,0.082044035,-38.23458,31712.299,5471.4575,0.9724771,0.6363636,-1.1340488,-0.6911423,Cluster0,POINT (747850 1610550)
314212,671350.0,1726050.0,-93.43154,0.14129122,-6.442064,42497.605,5391.2266,1.0083683,0.6363636,-0.27094212,-0.5974369,Cluster0,POINT (671350 1726050)
1815983,672950.0,1646550.0,-85.014915,0.12694716,-222.98923,61474.742,8380.8125,1.0076629,0.6363636,-1.0528728,-0.37244555,Cluster0,POINT (672950 1646550)
1782370,711850.0,1648350.0,-83.09092,0.13380897,46.456223,42910.465,6806.4214,1.0204918,0.6363636,-0.3467005,-1.1355326,Cluster0,POINT (711850 1648350)
2725247,738450.0,1598450.0,-81.88809,0.25972557,69.11271,32017.424,2782.897,0.9361111,0.6363636,-1.2017779,-0.35128286,Cluster0,POINT (738450 1598450)
733495,663850.0,1703850.0,-92.303566,0.07897367,105.33897,65928.83,8317.029,0.996124,0.6363636,-1.2015754,-0.86126614,Cluster0,POINT (663850 1703850)
831835,675050.0,1698650.0,-87.51245,0.08514104,6.3005495,68275.81,2816.423,1.2916666,0.6363636,-0.41045403,-0.1733329,Cluster0,POINT (675050 1698650)
9396,791550.0,1742250.0,-90.086945,0.12585582,67.42778,56286.574,3139.8887,1.0421941,0.6363636,0.24659644,-1.0791253,Cluster0,POINT (791550 1742250)
986640,665750.0,1690450.0,-90.757935,0.13733211,-29.25183,78206.95,6610.284,1.0084746,0.6363636,-0.64393616,-0.64671314,Cluster0,POINT (665750 1690450)
162927,654850.0,1734050.0,-92.056244,0.33066717,93.9449,44366.105,7231.286,0.98717946,0.6363636,-0.58709496,-0.4856557,Cluster0,POINT (654850 1734050)
1514211,719750.0,1662550.0,-84.71588,0.10867091,-23.90492,38336.734,7718.375,1.1052631,0.6363636,-0.80358726,-0.9246425,Cluster0,POINT (719750 1662550)
4012447,628650.0,1530250.0,-103.72823,0.11419108,76.54033,22481.275,6703.8193,0.9824047,0.6363636,-0.9405283,-0.4993481,Cluster0,POINT (628650 1530250)
1109799,703150.0,1683950.0,-86.24369,0.086629026,80.36477,63527.01,5681.9614,1.1232877,0.6363636,-0.79017323,-0.5388752,Cluster0,POINT (703150 1683950)
722500,697750.0,1704450.0,-88.8375,0.12541634,25.88058,62873.805,2621.7698,1.1005586,0.6363636,-1.268194,-0.67506874,Cluster0,POINT (697750 1704450)
3922046,655750.0,1535050.0,-93.04605,0.25620455,124.29258,33445.332,1049.835,0.99688476,0.6363636,-1.4366049,-0.55855834,Cluster0,POINT (655750 1535050)
3238606,693550.0,1571250.0,-78.04349,0.16760918,-79.06654,31346.871,8942.903,1.0155764,0.6363636,-1.5312356,-0.96599436,Cluster0,POINT (693550 1571250)
1626946,659250.0,1656550.0,-90.780685,0.2122175,-201.36742,66957.27,3977.6912,1.0058651,0.6363636,-1.4059494,0.01867907,Cluster0,POINT (659250 1656550)
263869,737350.0,1728750.0,-89.33578,0.051587835,-63.646626,57233.465,14594.912,1.0427808,0.54545456,-0.2690756,-0.91475046,Cluster0,POINT (737350 1728750)
1756108,730250.0,1649750.0,-82.1765,0.0639177,-18.269224,24653.438,8088.461,1.0625,0.6363636,-1.2358973,-0.6363786,Cluster0,POINT (730250 1649750)
242830,711350.0,1729850.0,-86.946045,0.3108434,123.30931,44477.383,12181.916,1.0718955,0.6363636,0.029685454,-0.38564312,Cluster0,POINT (711350 1729850)
1857526,671450.0,1644350.0,-83.97649,0.105903424,-160.57025,58851.645,10796.444,1.0320284,0.6363636,-0.6353816,-0.15593155,Cluster0,POINT (671450 1644350)
1122761,677050.0,1683250.0,-91.52104,0.12223234,-3.9756033,83300.68,2403.8486,1.0053763,0.6363636,-1.2908037,-0.079337455,Cluster0,POINT (677050 1683250)
3423679,688650.0,1561450.0,-80.73244,0.56392056,-19.783699,30220.473,6025.5015,0.9543147,0.6363636,-0.658216,-1.128957,Cluster0,POINT (688650 1561450)
1581473,645550.0,1658950.0,-88.10024,0.30308095,71.67011,68315.414,8453.491,0.99642855,0.45454547,-0.8552439,-0.9181809,Cluster0,POINT (645550 1658950)
93756,727050.0,1737750.0,-90.95887,0.046599142,-58.885498,49063.17,27058.889,0.9878049,0.6363636,-0.80043316,-0.32888508,Cluster0,POINT (727050 1737750)
3927879,672350.0,1534750.0,-76.72183,0.15480866,44.98382,20561.074,0.0,1.0210971,0.6363636,-0.56377846,-0.38092664,Cluster0,POINT (672350 1534750)
209100,738550.0,1731650.0,-90.72992,0.06249939,-1.3037686,54374.87,15020.01,1.0245098,0.6363636,-0.5188509,-0.20747975,Cluster0,POINT (738550 1731650)
1968603,634050.0,1638450.0,-85.913,0.09807611,43.1247,49608.26,14033.513,1.0707548,0.6363636,-0.13337733,-1.1711218,Cluster0,POINT (634050 1638450)
1628909,666650.0,1656450.0,-80.35642,0.079249725,-1217.06,68563.555,585.7972,1.0638298,0.6363636,-0.69073635,-0.14287274,Cluster0,POINT (666650 1656450)
549284,754950.0,1713650.0,-91.871635,0.11234026,14.521302,34416.125,9793.529,1.0632184,0.6363636,-0.6681988,-0.24929665,Cluster0,POINT (754950 1713650)
646535,657250.0,1708450.0,-90.83587,0.117240496,242.75954,64220.84,12212.517,1.0277778,0.6363636,-1.4023889,-0.13859537,Cluster0,POINT (657250 1708450)
3333131,701050.0,1566250.0,-77.84859,0.20458388,-38.737366,22467.863,5891.9946,0.9847561,0.6363636,-1.0072954,-0.61660963,Cluster0,POINT (701050 1566250)
435375,698050.0,1719650.0,-89.11868,0.1043406,63.51847,48133.3,3903.979,1.1132076,0.6363636,-0.39564812,-0.24469712,Cluster0,POINT (698050 1719650)
1567135,722950.0,1659750.0,-84.04636,0.04903197,70.38628,34294.21,4158.6084,1.126506,0.6363636,-0.5221691,-0.19503549,Cluster0,POINT (722950 1659750)
3789515,625650.0,1542050.0,-99.41086,0.31376168,50.02827,21713.312,0.0,1.0347826,0.6363636,-0.7713556,-0.7046186,Cluster0,POINT (625650 1542050)
2007186,714350.0,1636450.0,-79.04462,0.12911297,62.17702,41708.55,9523.66,0.95535713,0.6363636,-0.5252503,-0.20857798,Cluster0,POINT (714350 1636450)
715267,730050.0,1704850.0,-95.27343,0.2115691,4.5611224,50525.074,20741.293,1.0326798,0.6363636,-1.1006312,-1.3150908,Cluster0,POINT (730050 1704850)
2249052,721750.0,1623650.0,-77.72044,0.17432562,143.01025,40282.906,8863.967,1.0444444,0.6363636,-0.44310126,-1.3804576,Cluster0,POINT (721750 1623650)
3780252,643850.0,1542550.0,-89.25238,0.20575775,65.82649,28847.518,0.0,1.04,0.6363636,-0.05522447,-0.40923706,Cluster0,POINT (643850 1542550)
135559,751550.0,1735550.0,-92.01753,0.08944567,13.873957,52731.945,12748.521,1.0375587,0.6363636,-0.13153931,-0.8399903,Cluster0,POINT (751550 1735550)
3396517,617050.0,1562850.0,-104.261604,0.22865614,42.88875,32420.89,5290.898,0.95932204,0.6363636,-1.205455,-1.0671474,Cluster0,POINT (617050 1562850)
2215186,735350.0,1625450.0,-79.44907,0.048764333,55.374046,28817.947,5716.552,1.053942,0.6363636,-0.27089944,-0.63534373,Cluster0,POINT (735350 1625450)
531280,654650.0,1714550.0,-89.42063,0.13764958,136.5942,60096.96,10906.388,1.018797,0.6363636,-0.8527162,-0.21329024,Cluster0,POINT (654650 1714550)
115783,662950.0,1736550.0,-88.70983,0.07977712,-4.1101375,37191.63,180.51039,1.081448,0.6363636,0.019097816,-0.6507701,Cluster0,POINT (662950 1736550)
1069795,669650.0,1686050.0,-92.62238,0.14497367,-41.455997,81625.31,3184.2424,1.0049261,0.6363636,-1.2633338,-0.2734578,Cluster0,POINT (669650 1686050)
557982,680250.0,1713150.0,-88.42739,0.09866278,66.39983,53230.496,1717.9587,1.026455,0.6363636,-0.9690372,-1.4085743,Cluster0,POINT (680250 1713150)
63304,704250.0,1739350.0,-90.83118,0.053573523,51.80584,32622.246,5349.6577,1.0451977,0.6363636,-0.18976296,-0.44526803,Cluster0,POINT (704250 1739350)
1824609,779950.0,1646150.0,-95.00758,0.16774489,100.744995,25225.322,1018.9162,0.97744364,0.6363636,-0.09731061,-0.277414,Cluster0,POINT (779950 1646150)
1568898,710350.0,1659650.0,-83.12129,0.16520943,-27.865334,46187.348,1399.5623,1.0391304,0.6363636,-0.49952164,-0.67825526,Cluster0,POINT (710350 1659650)
688393,687250.0,1706250.0,-90.983795,0.0396907,16.976892,59895.645,3963.94,1.057554,0.6363636,-1.3159636,-0.45782635,Cluster0,POINT (687250 1706250)
449045,742750.0,1718950.0,-90.73488,0.19463697,23.243196,46781.258,8767.609,1.0695652,0.6363636,-1.067641,-1.2204037,Cluster0,POINT (742750 1718950)
2651161,696950.0,1602350.0,-70.009,0.14025433,133.85648,50980.625,7925.4766,1.0165975,0.6363636,-0.18320929,-1.4170438,Cluster0,POINT (696950 1602350)
2491796,628050.0,1610750.0,-91.93833,0.21790822,-3.9851654,27933.174,4044.1938,0.99680513,0.6363636,-0.6462969,-0.68945885,Cluster0,POINT (628050 1610750)
1664749,661550.0,1654550.0,-88.46622,0.15851751,-280.3586,65450.22,3231.2224,0.99691355,0.6363636,-0.8623741,-0.670345,Cluster0,POINT (661550 1654550)
2198052,722050.0,1626350.0,-78.07245,0.13999306,73.03608,38541.332,9619.5205,0.98176295,0.6363636,-0.187444,-0.9187894,Cluster0,POINT (722050 1626350)
1534317,652450.0,1661450.0,-88.890236,0.2711127,24.019054,70974.984,6661.625,0.9728097,0.6363636,-1.296548,-1.0381538,Cluster0,POINT (652450 1661450)
217906,674650.0,1731150.0,-93.96963,0.07638256,-65.278,36616.848,288.96762,1.0738255,0.6363636,-0.9090304,-0.44844228,Cluster0,POINT (674650 1731150)
1083665,734350.0,1685350.0,-84.57569,0.05249991,-46.153698,43259.0,12858.77,1.0821918,0.6363636,-0.26594052,-0.791794,Cluster0,POINT (734350 1685350)
3581626,615750.0,1553050.0,-106.28256,0.049820054,124.46527,22837.773,1159.7776,1.0274725,0.6363636,-1.0986602,-1.00758,Cluster0,POINT (615750 1553050)
2148881,716350.0,1628950.0,-76.70597,0.04445652,133.71832,42321.29,8700.628,0.99610895,0.6363636,0.021774713,-0.18403243,Cluster0,POINT (716350 1628950)
120474,754250.0,1736350.0,-93.24195,0.12189209,-21.059294,52832.832,13958.806,1.043956,0.54545456,-0.99204844,-0.99970055,Cluster0,POINT (754250 1736350)
1746085,672450.0,1650250.0,-86.366875,0.13262022,-410.67374,64661.3,4827.199,1.0082988,0.6363636,-1.0005802,-0.1515031,Cluster0,POINT (672450 1650250)
1108911,614350.0,1683950.0,-77.44946,0.0557857,14.447063,40840.9,23774.32,1.1055555,0.6363636,-0.5612405,-0.64665306,Cluster0,POINT (614350 1683950)
2148681,696350.0,1628950.0,-75.24521,0.08198606,58.025463,60949.38,7372.169,1.088,0.6363636,-0.52142036,-1.1952027,Cluster0,POINT (696350 1628950)
2142300,624950.0,1629250.0,-83.12069,0.13811302,44.819725,44708.883,2487.7573,0.975,0.6363636,-0.6063027,-0.7465539,Cluster0,POINT (624950 1629250)
1925953,713750.0,1640750.0,-79.992836,0.1725515,85.39126,41439.99,9558.009,1.0344827,0.6363636,-0.73137856,-0.45430803,Cluster0,POINT (713750 1640750)
204878,694150.0,1731850.0,-96.61094,0.20455006,69.64168,35343.375,5553.7896,0.9892473,0.6363636,-1.1947054,-0.7156745,Cluster0,POINT (694150 1731850)
2862610,685050.0,1591150.0,-77.72434,0.33731797,-59.675026,35362.69,9599.796,0.9727723,0.54545456,-0.39398867,-0.5833031,Cluster0,POINT (685050 1591150)
64105,784350.0,1739350.0,-91.44145,0.26048446,10.804436,52067.87,10885.857,0.9856115,0.6363636,-0.10103165,-1.5124131,Cluster0,POINT (784350 1739350)
3857818,655550.0,1538450.0,-91.38852,0.18513985,56.1886,30051.729,0.0,1.008,0.6363636,-0.8806552,-0.6417166,Cluster0,POINT (655550 1538450)
2404135,740250.0,1615450.0,-81.93123,0.1568267,-16.23281,34510.6,2500.3635,0.990566,0.6363636,-1.4004192,-0.26100704,Cluster0,POINT (740250 1615450)
429698,697050.0,1719950.0,-87.299576,0.121718206,68.56972,47591.348,2893.2805,1.0493274,0.6363636,-0.08580196,-0.17045245,Cluster0,POINT (697050 1719950)
1168250,692350.0,1680850.0,-87.478195,0.118065104,-4.5321975,70949.47,3236.592,1.0635839,0.6363636,-1.2688926,-0.20982791,Cluster0,POINT (692350 1680850)
1731056,680750.0,1651050.0,-82.79312,0.1573939,-264.46307,69011.52,1682.1171,1.0666667,0.6363636,-0.6088533,-0.4829565,Cluster0,POINT (680750 1651050)
1527931,769450.0,1661850.0,-98.13893,0.15858445,32.169178,20995.8,1848.3364,0.99572647,0.6363636,-1.264062,-1.0795844,Cluster0,POINT (769450 1661850)
2041152,710750.0,1634650.0,-76.685875,0.10613547,1.5228816,45651.945,6423.5796,1.0202429,0.6363636,-0.07105766,-0.26393393,Cluster0,POINT (710750 1634650)
1508313,696650.0,1662850.0,-86.16792,0.12683432,-251.7426,60145.77,2649.6592,1.122905,0.6363636,-0.97030145,-0.9558992,Cluster0,POINT (696650 1662850)
1899290,692050.0,1642150.0,-81.23946,0.13947164,18.562477,62763.055,4467.0786,0.9873016,0.6363636,-0.74255323,-1.1595272,Cluster0,POINT (692050 1642150)
1545594,646750.0,1660850.0,-86.5128,0.13309862,-0.45614177,70194.23,9397.659,1.0346321,0.6363636,-0.4020148,-0.7702412,Cluster0,POINT (646750 1660850)
790199,667250.0,1700850.0,-91.877556,0.109989114,100.205345,67775.55,5290.508,1.0358745,0.6363636,-0.5213094,-1.1736908,Cluster0,POINT (667250 1700850)
1443588,646750.0,1666250.0,-84.58601,0.2687124,-40.99755,75594.04,10326.648,1.006734,0.6363636,-0.5393306,-1.1270115,Cluster0,POINT (646750 1666250)
2470571,772350.0,1611950.0,-88.83218,0.20752062,-30.773588,26289.557,8222.312,0.97568387,0.6363636,-0.46716294,-0.48320264,Cluster0,POINT (772350 1611950)
376657,682150.0,1722750.0,-85.879776,0.086827,-71.04272,43500.0,2206.7666,1.0410959,0.6363636,0.19946502,-0.7402974,Cluster0,POINT (682150 1722750)
3045149,615650.0,1581450.0,-95.95752,0.12894891,87.60175,32984.336,2052.9841,0.99622643,0.45454547,-0.7247132,-1.3545063,Cluster0,POINT (615650 1581450)
70724,690650.0,1738950.0,-88.02618,0.035403054,126.94269,27652.756,4699.6787,1.0326798,0.6363636,-0.4745931,-0.86313003,Cluster0,POINT (690650 1738950)
